{79}|{[155],[933],[1],[5],[1]}
{78}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{78}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{78}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{78}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{78}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{78}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{78}|{[155],[933],[1],[2],[1]}
{79}|{[155],[933],[1],[2],[1]}
{78}|{[155],[933],[1],[2],[1]}
