{2}|{[8;9;11],[1],[1],[10],[0]}
{5}|{[8;9;11],[1],[1],[10],[0]}
{2}|{[8;9;11],[7],[1],[10],[0]}
{5}|{[8;9;11],[7],[1],[10],[0]}
{2}|{[8;9;11],[22],[1],[10],[0]}
{5}|{[8;9;11],[22],[1],[10],[0]}
{2}|{[8;9;11],[28],[1],[10],[0]}
{5}|{[8;9;11],[28],[1],[10],[0]}
{2}|{[8;9;11],[12],[1],[10],[0]}
{5}|{[8;9;11],[12],[1],[10],[0]}
{3}|{[15;16;17],[2],[1],[10],[0]}
{6}|{[15;16;17],[2],[1],[10],[0]}
{3}|{[15;16;17],[8],[1],[10],[0]}
{6}|{[15;16;17],[8],[1],[10],[0]}
{3}|{[15;16;17],[23],[1],[10],[0]}
{6}|{[15;16;17],[27],[1],[10],[0]}
{3}|{[15;16;17],[29],[1],[10],[0]}
{6}|{[15;16;17],[29],[1],[10],[0]}
{3}|{[15;16;17],[12],[1],[10],[0]}
{6}|{[15;16;17],[12],[1],[10],[0]}
{1}|{[1;2;3],[0],[1],[10],[0]}
{4}|{[1;2;3],[0],[1],[10],[0]}
{1}|{[1;2;3],[6],[1],[10],[0]}
{4}|{[1;2;3],[6],[1],[10],[0]}
{1}|{[1;2;3],[21],[1],[10],[0]}
{4}|{[1;2;3],[21],[1],[10],[0]}
{1}|{[1;2;3],[12],[1],[10],[0]}
{4}|{[1;2;3],[12],[1],[10],[0]}
{4}|{[1;2;3],[27],[1],[10],[0]}
